2019-10-15 15:22:29,005: 't'
2019-10-15 15:22:29,136: 'h'
2019-10-15 15:22:29,304: 'i'
2019-10-15 15:22:29,521: 's'
2019-10-15 15:22:29,620: Key.space
2019-10-15 15:22:29,854: 'i'
2019-10-15 15:22:30,020: 's'
2019-10-15 15:22:30,187: Key.space
2019-10-15 15:22:30,338: 'a'
2019-10-15 15:22:30,554: Key.space
2019-10-15 15:22:31,103: 't'
2019-10-15 15:22:31,321: 'e'
2019-10-15 15:22:31,638: 's'
2019-10-15 15:22:31,787: 't'
2019-10-15 15:22:52,471: '.'
2019-10-15 15:22:53,787: Key.enter
2019-10-15 15:22:55,788: 'w'
2019-10-15 15:22:55,988: 'w'
2019-10-15 15:22:56,205: 'w'
2019-10-15 15:22:56,755: '.'
2019-10-15 15:22:57,255: 'f'
2019-10-15 15:22:57,438: 'a'
2019-10-15 15:22:57,722: 'c'
2019-10-15 15:22:58,405: 'e'
2019-10-15 15:22:58,788: 'b'
2019-10-15 15:22:59,454: 'o'
2019-10-15 15:22:59,588: 'o'
2019-10-15 15:22:59,805: 'k'
2019-10-15 15:23:00,405: '.'
2019-10-15 15:23:00,605: 'c'
2019-10-15 15:23:00,755: 'o'
2019-10-15 15:23:00,921: 'm'
2019-10-15 15:23:02,971: Key.enter
2019-10-15 15:23:03,739: 'u'
2019-10-15 15:23:03,889: 's'
2019-10-15 15:23:04,104: 'e'
2019-10-15 15:23:04,322: 'r'
2019-10-15 15:23:04,671: 'n'
2019-10-15 15:23:04,889: 'a'
2019-10-15 15:23:05,055: 'm'
2019-10-15 15:23:05,254: 'e'
2019-10-15 15:23:07,388: Key.tab
2019-10-15 15:23:08,522: 'p'
2019-10-15 15:23:08,605: 'a'
2019-10-15 15:23:08,805: 's'
2019-10-15 15:23:09,038: 'w'
2019-10-15 15:23:09,556: 'o'
2019-10-15 15:23:09,689: 'o'
2019-10-15 15:23:09,822: 'r'
2019-10-15 15:23:10,921: 'd'
2019-10-15 15:23:14,004: Key.enter
2019-10-15 15:23:18,121: 's'
2019-10-15 15:23:18,372: 'e'
2019-10-15 15:23:18,588: 'a'
2019-10-15 15:23:18,889: 'r'
2019-10-15 15:23:19,171: 'c'
2019-10-15 15:23:19,422: 'h'
2019-10-15 15:23:19,589: 'i'
2019-10-15 15:23:19,822: 'n'
2019-10-15 15:23:20,039: 'g'
2019-10-15 15:23:20,255: Key.space
2019-10-15 15:23:20,422: 'f'
2019-10-15 15:23:20,605: 'o'
2019-10-15 15:23:20,838: 'r'
2019-10-15 15:23:21,188: Key.space
2019-10-15 15:23:21,689: 's'
2019-10-15 15:23:21,906: 'o'
2019-10-15 15:23:22,138: 'm'
2019-10-15 15:23:22,322: 'e'
2019-10-15 15:23:22,522: Key.space
2019-10-15 15:23:22,922: 't'
2019-10-15 15:23:23,174: 'e'
2019-10-15 15:23:23,422: 'x'
2019-10-15 15:23:23,756: 't'
2019-10-15 15:23:24,821: Key.enter
2019-10-15 15:23:30,022: 'e'
2019-10-15 15:23:30,188: 'm'
2019-10-15 15:23:30,322: 'a'
2019-10-15 15:23:30,455: 'i'
2019-10-15 15:23:30,706: 'l'
2019-10-15 15:23:31,289: 'a'
2019-10-15 15:23:31,556: 'd'
2019-10-15 15:23:31,789: 'r'
2019-10-15 15:23:32,022: 'e'
2019-10-15 15:23:32,322: 's'
2019-10-15 15:23:32,472: 's'
2019-10-15 15:23:33,090: Key.shift
2019-10-15 15:23:33,356: '2'
2019-10-15 15:23:36,106: 's'
2019-10-15 15:23:36,522: 'o'
2019-10-15 15:23:36,840: 'm'
2019-10-15 15:23:37,088: 'e'
2019-10-15 15:23:37,306: 'w'
2019-10-15 15:23:37,472: 'h'
2019-10-15 15:23:37,656: 'e'
2019-10-15 15:23:37,872: 'r'
2019-10-15 15:23:38,072: 'e'
2019-10-15 15:23:38,556: '.'
2019-10-15 15:23:38,805: 'c'
2019-10-15 15:23:39,356: 'o'
2019-10-15 15:23:39,573: 'm'
2019-10-15 15:23:40,538: Key.enter
2019-10-16 20:49:57,825: 'j'
2019-10-16 20:49:58,044: 'u'
2019-10-16 20:49:58,245: 's'
2019-10-16 20:49:58,554: 't'
2019-10-16 20:49:59,474: 't'
2019-10-16 20:49:59,735: 'y'
2019-10-16 20:49:59,973: 'p'
2019-10-16 20:50:00,354: 'i'
2019-10-16 20:50:00,584: 'n'
2019-10-16 20:50:00,803: 'g'
2019-10-16 20:50:01,006: Key.space
2019-10-16 20:50:01,224: 'a'
2019-10-16 20:50:01,477: 'w'
2019-10-16 20:50:01,749: 'a'
2019-10-16 20:50:02,035: 'y'
2019-10-16 20:50:02,207: Key.space
2019-10-16 20:50:02,399: 'h'
2019-10-16 20:50:02,633: 'e'
2019-10-16 20:50:02,902: 'r'
2019-10-16 20:50:03,105: 'e'
2019-10-16 20:50:04,276: Key.enter
